x,y,z
-0.178,5.724,-9.000
3.066,2.789,-10.000
-0.181,5.726,-9.000
-0.176,5.720,-10.000
-0.181,5.726,-9.000
-0.188,5.728,-10.000
0.003,5.731,-10.000
3.066,2.789,-10.000
-0.181,5.726,-10.000
-0.176,5.721,-10.000
3.064,2.790,-10.000
-0.175,5.723,-10.000
-0.175,5.723,-10.000
-0.175,5.723,-10.000
-0.175,5.723,-9.000
-0.175,5.723,-10.000
-0.181,5.726,-9.000
3.064,2.790,-10.000
-0.175,5.723,-10.000
0.003,5.731,-10.000
-0.180,5.723,-9.000
3.077,2.816,-10.000
-0.181,5.726,-10.000
0.003,5.731,-10.000
-0.175,5.723,-10.000
-0.175,5.723,-9.000
-0.175,5.723,-10.000
-0.175,5.723,-9.000
-0.175,5.723,-10.000
-0.175,5.723,-10.000
-0.175,5.723,-9.000
-0.173,5.725,-10.000
-0.175,5.723,-9.000
-0.181,5.726,-10.000
3.066,2.789,-10.000
0.003,5.731,-10.000
3.065,2.774,-10.000
-0.181,5.725,-10.000
-0.175,5.723,-9.000
-0.181,5.726,-9.000
3.066,2.793,-10.000
-0.053,5.718,-10.000
-0.181,5.726,-10.000
-0.175,5.723,-10.000
-0.113,5.835,-10.000
-0.175,5.723,-9.000
-0.188,5.728,-10.000
-0.175,5.723,-9.000
-0.181,5.726,-10.000
3.072,2.807,-10.000
3.066,2.789,-10.000
-0.175,5.723,-10.000
-0.175,5.723,-10.000
-0.178,5.724,-9.000
-0.181,5.726,-9.000
-0.051,5.714,-10.000
-0.178,5.720,-9.000
-0.175,5.723,-10.000
3.076,2.805,-10.000
-0.181,5.719,-10.000
-0.188,5.728,-10.000
-0.175,5.723,-10.000
3.065,2.789,-10.000
-0.172,5.726,-10.000
-0.173,5.725,-10.000
-0.188,5.728,-10.000
-0.173,5.725,-10.000
-0.175,5.723,-10.000
-0.181,5.726,-10.000
-0.175,5.723,-10.000
-0.181,5.726,-10.000
-0.175,5.723,-10.000
-0.170,5.726,-10.000
-0.175,5.723,-10.000
-0.175,5.723,-10.000
-0.182,5.718,-10.000
-0.178,5.724,-9.000
-0.175,5.723,-9.000
3.064,2.789,-10.000
-0.180,5.720,-10.000
3.065,2.774,-10.000
3.066,2.789,-10.000
-0.175,5.723,-10.000
3.063,2.790,-10.000
3.066,2.794,-10.000
-0.175,5.723,-10.000
3.065,2.774,-8.000
-0.175,5.723,-10.000
-0.173,5.725,-10.000
-0.175,5.723,-10.000
-0.181,5.726,-10.000
0.003,5.731,-10.000
0.003,5.731,-10.000
-0.017,5.728,-10.000
3.066,2.789,-10.000
-0.173,5.725,-10.000
-0.181,5.726,-10.000
3.072,2.807,-10.000
3.071,2.800,-10.000
3.066,2.789,-10.000
-0.176,5.721,-10.000
-0.178,5.724,-9.000
-0.181,5.726,-10.000
3.072,2.803,-10.000
-0.173,5.725,-10.000
-0.178,5.724,-9.000
-0.173,5.725,-10.000
-0.175,5.723,-9.000
-0.178,5.724,-9.000
-0.175,5.723,-10.000
-0.175,5.723,-8.000
-0.051,5.714,-10.000
-0.181,5.726,-9.000
-0.175,5.722,-10.000
-0.178,5.724,-9.000
3.063,2.791,-10.000
3.063,2.791,-10.000
-0.182,5.718,-10.000
-0.175,5.723,-10.000
-0.175,5.723,-10.000
-0.182,5.718,-10.000
-0.177,5.726,-10.000
-0.175,5.723,-7.000
-0.175,5.723,-7.000
-0.175,5.723,-6.000
-0.175,5.723,-6.000
-0.175,5.723,-6.000
-0.175,5.723,-6.000
-0.175,5.723,-6.000
-0.175,5.723,-6.000
-0.175,5.723,-8.000
-0.176,5.718,-9.000
-0.175,5.723,-9.000
-0.181,5.726,-9.000
-0.181,5.726,-9.000
-0.006,5.724,-9.000
-0.076,5.760,-9.000
-0.181,5.726,-9.000
-0.176,5.718,-9.000
-0.132,5.710,-9.000
-0.181,5.726,-9.000
-0.053,5.713,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-8.000
-0.181,5.726,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-8.000
-0.181,5.726,-9.000
-0.175,5.723,-9.000
-0.176,5.719,-9.000
-0.181,5.726,-9.000
-0.131,5.709,-9.000
-0.176,5.719,-9.000
-0.131,5.709,-9.000
-0.176,5.721,-9.000
1.004,6.593,-9.000
-0.181,5.726,-9.000
-0.131,5.709,-9.000
-0.176,5.721,-9.000
-0.175,5.723,-9.000
-0.070,5.750,-9.000
-0.175,5.723,-8.000
-0.176,5.718,-9.000
-0.176,5.721,-9.000
1.004,6.593,-9.000
-0.176,5.718,-9.000
-0.176,5.723,-9.000
-0.176,5.723,-9.000
-0.181,5.726,-9.000
-0.176,5.721,-9.000
-0.178,5.724,-8.000
-0.175,5.723,-8.000
-0.181,5.726,-9.000
-0.180,5.725,-9.000
-0.175,5.723,-9.000
-0.178,5.724,-8.000
-0.175,5.722,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-9.000
-0.176,5.721,-9.000
-0.181,5.726,-9.000
-0.175,5.723,-9.000
-0.176,5.720,-9.000
-0.176,5.718,-9.000
-0.175,5.723,-8.000
-0.181,5.725,-9.000
-0.175,5.723,-9.000
-0.076,5.760,-9.000
-0.181,5.726,-9.000
-0.175,5.723,-8.000
-0.175,5.723,-9.000
-0.175,5.723,-9.000
-0.161,5.734,-9.000
-0.175,5.723,-9.000
-0.131,5.709,-9.000
-0.176,5.721,-9.000
-0.176,5.723,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-9.000
-0.161,5.734,-9.000
-0.076,5.760,-9.000
-0.175,5.723,-9.000
-0.065,5.750,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-9.000
1.004,6.593,-9.000
-0.175,5.723,-9.000
-0.161,5.734,-9.000
-0.178,5.724,-9.000
-0.181,5.726,-9.000
-0.179,5.731,-9.000
-0.075,5.760,-9.000
-0.175,5.723,-8.000
1.004,6.593,-9.000
1.004,6.593,-9.000
-0.181,5.726,-9.000
-0.175,5.723,-8.000
-0.178,5.724,-8.000
-0.140,5.734,-9.000
-0.181,5.726,-9.000
-0.175,5.723,-9.000
1.004,6.593,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-9.000
-0.181,5.726,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-9.000
-0.176,5.721,-9.000
-0.175,5.723,-9.000
-0.181,5.726,-9.000
-0.176,5.721,-9.000
-0.181,5.726,-9.000
-0.176,5.721,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-8.000
-0.181,5.726,-9.000
-0.076,5.760,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-9.000
-0.176,5.721,-8.000
-0.175,5.723,-9.000
-0.175,5.723,-8.000
-0.175,5.723,-9.000
-0.181,5.726,-9.000
-0.176,5.721,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-8.000
-0.132,5.710,-9.000
-0.176,5.721,-9.000
-0.076,5.760,-9.000
-0.175,5.723,-8.000
-0.076,5.760,-9.000
-0.076,5.760,-9.000
-0.175,5.723,-8.000
-0.176,5.718,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-9.000
-0.176,5.718,-9.000
1.004,6.593,-9.000
1.004,6.593,-9.000
-0.175,5.723,-9.000
-0.076,5.760,-9.000
-0.181,5.726,-9.000
-0.176,5.723,-9.000
-0.175,5.723,-9.000
-0.176,5.718,-9.000
-0.131,5.709,-9.000
-0.181,5.726,-9.000
-0.178,5.724,-8.000
-0.181,5.726,-9.000
-0.076,5.760,-9.000
-0.175,5.723,-8.000
-0.175,5.723,-9.000
1.004,6.593,-9.000
-0.175,5.723,-9.000
1.004,6.593,-9.000
-0.177,5.720,-9.000
-0.076,5.760,-9.000
-0.176,5.721,-9.000
1.004,6.593,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-9.000
-0.131,5.709,-9.000
-0.176,5.721,-9.000
-0.176,5.718,-9.000
-0.177,5.721,-9.000
-0.176,5.720,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-9.000
-0.131,5.709,-9.000
-0.175,5.723,-9.000
-0.175,5.723,-9.000
-0.076,5.760,-9.000
-0.181,5.726,-9.000
-0.175,5.723,-8.000
-0.181,5.726,-9.000
-0.181,5.726,-9.000
1.004,6.593,-9.000
-0.076,5.760,-9.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.181,5.726,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.196,5.738,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.210,5.742,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.205,5.759,-8.000
-0.175,5.723,-8.000
-0.210,5.742,-8.000
-0.175,5.723,-8.000
-0.174,5.722,-8.000
-0.205,5.759,-8.000
-0.175,5.723,-8.000
-0.131,5.709,-8.000
-0.196,5.738,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.174,5.722,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.178,5.724,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.177,5.720,-8.000
-0.175,5.723,-8.000
-0.181,5.726,-8.000
-0.177,5.720,-8.000
-0.175,5.723,-8.000
-0.131,5.709,-8.000
-0.131,5.709,-8.000
-0.178,5.724,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.177,5.720,-8.000
-0.177,5.720,-8.000
-0.187,5.753,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.174,5.722,-8.000
-0.196,5.738,-8.000
-0.027,5.719,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.181,5.726,-8.000
-0.177,5.720,-8.000
-0.175,5.723,-8.000
-0.195,5.739,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.178,5.724,-8.000
-0.131,5.709,-8.000
-0.175,5.723,-8.000
-0.177,5.720,-8.000
-0.175,5.723,-8.000
-0.177,5.721,-8.000
-0.175,5.723,-8.000
-0.196,5.738,-8.000
-0.175,5.723,-8.000
-0.210,5.742,-8.000
-0.176,5.723,-8.000
-0.131,5.709,-8.000
-0.177,5.720,-8.000
-0.175,5.723,-8.000
-0.177,5.720,-8.000
-0.175,5.723,-8.000
-0.034,5.720,-8.000
-0.175,5.723,-8.000
-0.176,5.723,-8.000
-0.176,5.723,-8.000
-0.177,5.720,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.181,5.726,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
-0.175,5.723,-8.000
